"","Kolumna1","id_ucznia","wersja_ankiety","obserwacja","zdolny_u","c_nauki","nr_klasy","nr_ucznia","plec","studia_m","studia_t","praca_m","zawod_matki","praca_o","zawod_ojciec","ocena_matematyka","ocena_jezyk_polski","ocena_przyroda","zawod_u","klasyfikacja_z","p_12_4","p_13_a_2_4","p_13_b_2_4","p_13_c_2_4","p_13_d_2_4","p_13_e_4","p_13_f_4","p_13_g_4","p_13_h_2_4","p_13_i_1_2_4","p_13_j_2_4","p_13_k_1_2_4","p_14_a_4","p_14_b_1_2_4","p_15_a_2_4","p_15_b_2_4","p_16_2_4","p_17_a_4","p_17_b_4","p_17_c_4","p_17_d_4","p_17_e_4","p_17_f_4","p_18_a_4","p_18_b_4","p_18_c_4","p_18_d_4","p_18_e_4","p_18_f_4","p_19_a_1_2_4","p_19_b_4","p_19_c_4","p_19_d_4","p_19_e_4","p_19_f_4","p_19_g_4","p_19_h_4","p_19_i_2_4","p_19_j_2_4","p_19_k_4","p_20_a","p_20_b","p_20_c","p_20_d","p_20_e","p_20_f","k_studia_m","k_studia_t","k_ocena_m","k_ocena_jp","k_ocena_prz","k_p_12_4","k_p_14_a_4","k_p_15_a_2_4","k_p_16_2_4","k_p_17_a_4","k_p_17_b_4","k_p_17_c_4","k_p_17_d_4","k_p_17_e_4","k_p_17_f_4","k_p_18_a_4","k_p_18_b_4","k_p_18_c_4","k_p_18_d_4","k_p_18_e_4","k_p_18_f_4","k_p_19_b_4","k_p_19_c_4","k_p_19_d_4","k_p_19_g_4","k_p_19_h_4","k_p_19_k_4","k_sum_4"
"1","77","701","czwarta wersja","nie","nie","Centrum Nauki Kopernik","7","1","dziewczyna","nie","nie","nie",NA,"nie",NA,"2","4","4",NA,NA,NA,"nie","nie","nie","nie","nie",NA,"nie","nie",NA,"tak","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam",NA,"ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","nie","nie","nie","nie","nie","tak","0","0","1","3","3","0","0","0","2","0","1","2","0","0","0","1","1","2","0","1","2","1","2","3","1","2","2","30"
"2","78","702","czwarta wersja","tak","nie","Centrum Nauki Kopernik","7","2","chlopak","tak","tak","tak","Przyrodniczy","tak","Inne","6","4","3",NA,"calkowicie niezwiazany z science",NA,"nie","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","tak","tak","nie","nie","nie","nie","4","4","5","3","2","3","0","0","2","0","0","1","0","1","0","3","2","2","0","2","0","2","2","4","4","4","4","54"
"3","79","704","czwarta wersja","tak","nie","Centrum Nauki Kopernik","7","4","chlopak",NA,NA,"nie",NA,"tak","Inne","6","4","5","Techniczny",NA,NA,"nie","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","5","3","4","0","0","0","3","3","0","0","1","1","1","4","4","4","4","3","4","3","3","2","3","3","3","61"
"4","80","706","czwarta wersja","tak","nie","Centrum Nauki Kopernik","7","6","chlopak","tak",NA,"tak","Inne","tak",NA,"6","5","5","Humanistyczny","calkowicie niezwiazany z science",NA,"nie","nie","nie","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","4","0","5","4","4","2","0","0","2","0","1","0","1","1","0","3","3","2","2","0","0","4","3","4","2","3","3","53"
"5","81","707","czwarta wersja","tak","nie","Centrum Nauki Kopernik","7","7","dziewczyna","tak","nie","tak","Inne","tak","Inne","4","4","4","Inne","calkowicie niezwiazany z science",NA,"nie","nie","tak","tak","nie",NA,"tak","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","tak","nie","nie","nie","nie","nie","4","0","3","3","3","2","0","0","4","3","0","0","1","1","1","2","0","0","0","2","0","4","4","2","3","4","3","49"
"6","82","708","czwarta wersja","tak","nie","Centrum Nauki Kopernik","7","8","chlopak",NA,NA,"tak","Inne","tak","Inne","3","3","3",NA,NA,NA,"tak","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","2","2","2","4","0","0","1","0","0","0","0","1","0","4","0","0","0","0","0","3","1","1","3","2","3","29"
"7","83","709","czwarta wersja","tak","nie","Centrum Nauki Kopernik","7","9","chlopak","tak","tak","tak","Inne","tak","Inne","4","4","4",NA,NA,NA,"nie","nie","nie","nie","nie",NA,"nie","nie",NA,"tak","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","nie","nie","nie","tak","tak","tak","4","4","3","3","3","0","0","0","2","4","0","0","1","0","0","0","1","1","4","4","0","4","2","2","4","4","2","52"
"8","84","710","czwarta wersja","tak","nie","Centrum Nauki Kopernik","7","10","dziewczyna",NA,NA,"tak","Inne","tak","Inne","4","5","4","Inne","calkowicie niezwiazany z science",NA,"tak","nie","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","nie","nie","tak","nie","nie","nie","0","0","3","4","3","1","0","0","1","1","0","0","3","1","2","3","4","0","1","2","0","4","4","4","3","2","2","48"
"9","85","711","czwarta wersja","nie","nie","Centrum Nauki Kopernik","7","11","chlopak","tak","tak","nie",NA,"tak","Inne","1","3","2",NA,"calkowicie niezwiazany z science",NA,"tak","nie","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam",NA,"ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","nie","nie","tak","nie","nie","4","4","0","2","1","1","0","0","1","3","0","0","1","2","0","0","1","0","0","0","3","0","2","2","3","2","3","35"
"10","87","713","czwarta wersja","nie","nie","Centrum Nauki Kopernik","7","13","dziewczyna",NA,NA,"tak","Przyrodniczy","tak",NA,"2","2","2","Inne","calkowicie niezwiazany z science",NA,"nie","nie","nie","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam",NA,"zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","nie","tak","nie","nie","nie","0","0","1","1","1","1","0","0","4","0","0","0","0","1","0","1","2","0","0","0","0","4","4","4","2","3","3","32"
