lp,ID,eksponat,galeria,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,1_OSTOW,2_OSTOW,3_OSTOW,4_OSTOW,5_OSTOW,6_OSTOW,7_OSTOW,8_OSTOW,9_OSTOW,ILE_OSTOW,ILE_r,zach,opis,animator,uwagi
1,104,WAHADLO FOUCAULT,Korzenie Cywilizacji ,2,0,9,0,35,26,"0,43",115,115,,,,,,,,,1,1,1,0,0,"Presja kolegi : ""Ej, chodz."""
2,104,KOLOWROT STUDZIENNY,Korzenie Cywilizacji ,2,0,37,2,38,121,"2,02",,,,,,,,,,,0,0,4,0,0,
3,104,PERSKIE KOLO,Korzenie Cywilizacji ,2,2,40,3,14,34,"0,57",,,,,,,,,,,0,0,3,0,0,
4,104,SRUBA ARCHIMEDESA,Korzenie Cywilizacji ,2,3,16,3,30,14,"0,23",115,115,,,,,,,,,1,1,3,0,0,
5,104,LODZIA POD GORE,Korzenie Cywilizacji ,2,4,17,4,55,38,"0,63",115,115,,,,,,,,,1,1,3,0,0,
6,104,"TRZY TURBINY, TRZECH WYNALAZCOW",Korzenie Cywilizacji ,2,6,0,6,43,43,"0,72",115,115,,,,,,,,,1,1,3,0,0,
7,104,WIATRAKI I TURBOWIATRAKI,Korzenie Cywilizacji ,2,6,50,7,30,40,"0,67","0115, 0105",115,105,,,,,,,,2,2,4,0,0,
8,104,GDZIE ARCHEOLOG NIE MOZE TAM ROBOTA POSLE,Korzenie Cywilizacji ,2,7,42,7,49,7,"0,12",113,113,,,,,,,,,1,1,1,0,0,
9,104,PIONY W PLASTERKACH,Korzenie Cywilizacji ,2,7,52,8,10,18,"0,3",,,,,,,,,,,0,0,3,0,0,
10,104,WIATRAKI I TURBOWIATRAKI,Korzenie Cywilizacji ,2,9,4,9,40,36,"0,6",,,,,,,,,,,0,0,1,0,0,
11,104,EKSPERYMENT Z KALEJDOSKOPEM,Lustra,2,9,53,10,22,29,"0,48",115,115,,,,,,,,,1,1,3,0,0,
12,104,ZWIERCIADLANY LABIRYNT,Lustra,2,10,38,10,53,15,"0,25",,,,,,,,,,,0,0,1,0,0,
13,104,GDZIE ARCHEOLOG NIE MOZE TAM ROBOTA POSLE,Korzenie Cywilizacji ,2,11,34,12,3,29,"0,48",115,115,,,,,,,,,1,1,3,0,0,
14,104,KOLOWROT STUDZIENNY,Korzenie Cywilizacji ,2,12,10,12,32,22,"0,37",,,,,,,,,,,0,0,4,0,0,
15,104,PERSKIE KOLO,Korzenie Cywilizacji ,2,13,12,13,22,10,"0,17",,,,,,,,,,,0,0,3,0,0,
16,104,ELEKTRONICZNY POETA,Korzenie Cywilizacji ,2,13,56,14,10,14,"0,23",115,115,,,,,,,,,1,1,3,0,0,
17,104,HISTORIA KOLEM SIE TOCZY,Korzenie Cywilizacji ,2,14,30,15,3,33,"0,55",,,,,,,,,,,0,0,3,0,0,
18,104,W GOSCI DO RADIOAKTYWNOSCI,Korzenie Cywilizacji ,2,15,30,16,0,30,"0,5",,,,,,,,,,,0,0,3,0,0,
19,104,PRAD NA KORBKE,Korzenie Cywilizacji ,2,16,20,16,45,25,"0,42",115,115,,,,,,,,,1,1,3,0,0,
20,104,JEDEN Z MILIONA,Korzenie Cywilizacji ,2,17,23,18,2,39,"0,65",115,115,,,,,,,,,1,1,3,0,0,
21,104,SWIETLNE AKROBACJE,Nowy Swiat w Ruchu,2,18,22,18,56,34,"0,57",,,,,,,,,,,0,0,3,0,0,
22,104,PRAWDZIWA GEOMETRIA NATURY,Korzenie Cywilizacji ,2,20,10,20,26,16,"0,27",,,,,,,,,,,0,0,3,0,0,
23,104,AUKCJA HOLENDERSKA,Korzenie Cywilizacji ,2,20,34,20,57,23,"0,38",,,,,,,,,,,0,0,2,0,0,
24,104,MAGIA SZTUKI PREHISTORYCZNEJ,Korzenie Cywilizacji ,2,21,3,21,40,37,"0,62",,,,,,,,,,,0,0,3,0,0,
25,104,WAHADLO FOUCAULT,Korzenie Cywilizacji ,2,22,0,23,1,61,"1,02",,,,,,,,,,,0,0,1,0,0,
26,104,POCISK NA SPREZONE POWIETRZE,Nowy Swiat w Ruchu,2,23,37,24,8,31,"0,52",,,,,,,,,,,0,0,4,0,0,
27,104,RAKIETA NA WODOR,Nowy Swiat w Ruchu,2,24,9,24,31,22,"0,37",,,,,,,,,,,0,0,3,0,0,
28,104,GORACY BALON,Nowy Swiat w Ruchu,2,24,35,24,50,15,"0,25",,,,,,,,,,,0,0,2,0,0,
29,104,LATAJACY DYWAN,Nowy Swiat w Ruchu,2,25,20,25,50,30,"0,5",,,,,,,,,,,0,0,1,0,0,
30,104,ZYWE SREBRO,Nowy Swiat w Ruchu,2,25,54,26,17,23,"0,38",,,,,,,,,,,0,0,4,0,0,
31,104,OKNO KOPERNIKA,Nowy Swiat w Ruchu,2,26,23,27,25,62,"1,03",,,,,,,,,,,0,0,4,0,0,
32,104,SKACZACA KULKA,Nowy Swiat w Ruchu,2,27,33,28,0,27,"0,45",,,,,,,,,,,0,0,4,1,0,
33,104,FONTANNY W SZKLE,Nowy Swiat w Ruchu,2,28,3,28,28,25,"0,42",,,,,,,,,,,0,0,4,0,0,
34,104,FALOWANIE I SKAKANIE,Nowy Swiat w Ruchu,2,28,30,28,44,14,"0,23",,,,,,,,,,,0,0,3,0,0,
35,104,TO NIE PRZELEWKI,Plyn lub Gin,2,28,55,29,7,12,"0,2",107,107,,,,,,,,,1,1,2,0,0,
36,104,STOL CHLADNIEGO,Nowy Swiat w Ruchu,2,29,20,30,11,51,"0,85",,,,,,,,,,,0,0,4,0,0,
37,104,RADIO W GEBIE,Nowy Swiat w Ruchu,2,30,13,30,27,14,"0,23",,,,,,,,,,,0,0,2,0,0,
38,104,SWIATLO I DZWIEK,Nowy Swiat w Ruchu,2,30,31,31,23,52,"0,87",,,,,,,,,,,0,0,3,0,0,
39,104,STROBOSKOPOWY SZNUREK,Nowy Swiat w Ruchu,2,31,28,32,12,44,"0,73",,,,,,,,,,,0,0,4,1,0,
40,104,OBROTOWY STOLIK,Nowy Swiat w Ruchu,2,32,22,34,56,154,"2,57",,,,,,,,,,,0,0,4,0,1,"Fajna interakcja z animatorem, wreszcie zainteresowanie na twarzy."
41,104,POCISK NA SPREZONE POWIETRZE,Nowy Swiat w Ruchu,2,36,15,36,52,37,"0,62",115,115,,,,,,,,,1,1,4,0,0,Pokazuje koledze.
42,104,GORACY BALON,Nowy Swiat w Ruchu,2,37,0,37,56,56,"0,93",,,,,,,,,,,0,0,3,0,0,"Zniecierpliwienie, poniewaz balon nie leci."
43,104,RAKIETA NA WODOR,Nowy Swiat w Ruchu,2,38,0,38,20,20,"0,33",115,115,,,,,,,,,1,1,4,0,0,
44,104,POCISK NA SPREZONE POWIETRZE,Nowy Swiat w Ruchu,2,38,22,38,35,13,"0,22",,,,,,,,,,,0,0,3,0,0,
